Combination,Score,Hit
000005,50,5
000014,30.833333333333332,1
000104,30.833333333333332,1
001004,30.833333333333332,1
010004,30.833333333333332,1
100004,30.833333333333332,1
000023,28,6
000113,27,0
001013,26.5,0
010013,26.5,0
100013,26.5,0
000203,26,6
001103,25.5,0
010103,25.5,0
100103,25.5,0
002003,25,0
011003,24.666666666666668,0
101003,24.666666666666668,0
020003,25,0
110003,24.0,0
200003,25,0
000032,27,6
000122,26,6
001022,25.5,6
010022,25.5,6
100022,25.5,6
000212,25.5,6
001112,31.666666666666668,3
010112,25.5,6
100112,25.5,6
002012,24.5,6
011012,24.5,6
101012,24.5,6
020012,23.517857142857142,6
110012,23.517857142857142,6
200012,23.517857142857142,6
000302,25,0
001202,23.666666666666668,6
010202,23.666666666666668,6
100202,23.666666666666668,6
002102,23.517857142857142,6
011102,24.523809523809526,6
101102,23.517857142857142,6
020102,23.517857142857142,6
110102,23.517857142857142,6
200102,23.517857142857142,6
003002,25,0
012002,23.517857142857142,6
102002,23.517857142857142,6
021002,23.517857142857142,6
111002,23.517857142857142,6
201002,23.517857142857142,6
030002,25,0
120002,23.517857142857142,6
210002,23.517857142857142,6
300002,25,0
000041,27.666666666666668,1
000131,25,0
001031,24.5,0
010031,24.5,0
100031,24.5,0
000221,24.666666666666668,6
001121,31.666666666666668,3
010121,24.666666666666668,6
100121,24.666666666666668,6
002021,23.666666666666668,6
011021,23.666666666666668,6
101021,23.666666666666668,6
020021,22.589285714285715,6
110021,22.589285714285715,6
200021,22.589285714285715,6
000311,23.833333333333332,0
001211,31.666666666666668,3
010211,23.833333333333332,6
100211,23.833333333333332,6
002111,31.666666666666668,3
011111,40,3
101111,31.666666666666668,3
020111,23.833333333333332,6
110111,23.833333333333332,6
200111,22.589285714285715,6
003011,22.589285714285715,0
012011,22.833333333333332,6
102011,22.589285714285715,6
021011,22.833333333333332,6
111011,22.833333333333332,6
201011,22.589285714285715,6
030011,22.589285714285715,0
120011,22.589285714285715,6
210011,22.589285714285715,6
300011,22.589285714285715,0
000401,24.5,1
001301,21.857142857142858,0
010301,21.857142857142858,0
100301,21.857142857142858,0
002201,21.857142857142858,6
011201,24.523809523809526,6
101201,21.857142857142858,6
020201,21.857142857142858,6
110201,21.857142857142858,6
200201,21.857142857142858,6
003101,21.857142857142858,0
012101,24.166666666666668,6
102101,21.857142857142858,6
021101,24.166666666666668,6
111101,31.666666666666668,3
201101,21.857142857142858,6
030101,21.857142857142858,0
120101,21.857142857142858,6
210101,21.857142857142858,6
300101,21.857142857142858,0
004001,21.333333333333332,1
013001,21.0,0
103001,21.0,0
022001,21.0,6
112001,21.0,6
202001,21.0,6
031001,21.0,0
121001,21.0,6
211001,21.0,6
301001,21.0,0
040001,21.0,1
130001,21.0,0
220001,21.0,6
310001,21.0,0
400001,21.0,1
000050,50,5
000140,27.666666666666668,1
001040,27.666666666666668,1
010040,27.666666666666668,1
100040,27.666666666666668,1
000230,25,0
001130,25.476190476190474,0
010130,22.833333333333332,0
100130,22.833333333333332,0
002030,25,0
011030,22.166666666666668,0
101030,22.166666666666668,0
020030,25,0
110030,22.160714285714285,0
200030,25,0
000320,25,0
001220,23.5,6
010220,22.333333333333332,6
100220,22.333333333333332,6
002120,23.5,6
011120,33.333333333333336,3
101120,23.5,6
020120,22.160714285714285,6
110120,22.160714285714285,6
200120,22.160714285714285,6
003020,25,0
012020,22.160714285714285,6
102020,22.160714285714285,6
021020,22.160714285714285,6
111020,22.160714285714285,6
201020,22.160714285714285,6
030020,25,0
120020,22.160714285714285,6
210020,22.160714285714285,6
300020,25,0
000410,24.5,1
001310,22.833333333333332,0
010310,22.017857142857142,0
100310,22.017857142857142,0
002210,22.833333333333332,6
011210,33.333333333333336,3
101210,22.833333333333332,6
020210,22.017857142857142,6
110210,22.017857142857142,6
200210,22.017857142857142,6
003110,22.166666666666668,0
012110,33.333333333333336,3
102110,22.5,6
021110,33.333333333333336,3
111110,40,3
201110,22.5,6
030110,22.017857142857142,0
120110,22.017857142857142,6
210110,22.017857142857142,6
300110,22.017857142857142,0
004010,21.333333333333332,1
013010,21.107142857142858,0
103010,21.107142857142858,0
022010,21.107142857142858,6
112010,21.107142857142858,6
202010,21.107142857142858,6
031010,21.107142857142858,0
121010,21.107142857142858,6
211010,21.107142857142858,6
301010,21.107142857142858,0
040010,20.674603174603174,1
130010,20.674603174603174,0
220010,20.674603174603174,6
310010,20.674603174603174,0
400010,20.674603174603174,1
000500,50,5
001400,24.5,1
010400,24.5,1
100400,24.5,1
002300,25,0
011300,24.523809523809526,0
101300,21.696428571428573,0
020300,25,0
110300,20.857142857142858,0
200300,25,0
003200,25,0
012200,21.696428571428573,6
102200,21.696428571428573,6
021200,21.696428571428573,6
111200,31.666666666666668,3
201200,21.696428571428573,6
030200,25,0
120200,20.857142857142858,6
210200,20.857142857142858,6
300200,25,0
004100,21.696428571428573,1
013100,21.696428571428573,0
103100,21.696428571428573,0
022100,21.696428571428573,6
112100,31.666666666666668,3
202100,21.696428571428573,6
031100,21.696428571428573,0
121100,31.666666666666668,3
211100,31.666666666666668,3
301100,21.696428571428573,0
040100,20.50793650793651,1
130100,20.50793650793651,0
220100,20.50793650793651,6
310100,20.50793650793651,0
400100,20.50793650793651,1
005000,50,5
014000,21.333333333333332,1
104000,21.333333333333332,1
023000,25,0
113000,20.063492063492063,0
203000,25,0
032000,25,0
122000,20.063492063492063,6
212000,20.063492063492063,6
302000,25,0
041000,20.063492063492063,1
131000,20.063492063492063,0
221000,20.063492063492063,6
311000,20.063492063492063,0
401000,20.063492063492063,1
050000,50,5
140000,20.063492063492063,1
230000,25,0
320000,25,0
410000,20.063492063492063,1
500000,50,5
